Gene1,Gene2,Confidence Score,Origin
AAEL008247,AAEL009905,0.945,yeast/fly
AAEL001324,AAEL006788,0.944,yeast/worm
AAEL011231,AAEL005400,0.943,fly
AAEL005401,AAEL011250,0.943,fly
AAEL009887,AAEL007904,0.943,yeast
AAEL009088,AAEL001795,0.943,yeast
AAEL007822,AAEL012272,0.941,fly
AAEL014856,AAEL011780,0.941,yeast
AAEL012904,AAEL005069,0.941,yeast
AAEL002963,AAEL004007,0.94,fly
AAEL014822,AAEL009059,0.94,fly
AAEL004902,AAEL002711,0.94,fly
AAEL007848,AAEL003375,0.94,fly
AAEL014178,AAEL007541,0.94,yeast
AAEL009756,AAEL007979,0.939,fly
AAEL010567,AAEL015143,0.939,yeast
AAEL007221,AAEL005250,0.938,fly
AAEL000706,AAEL008656,0.938,fly
AAEL005356,AAEL009887,0.938,yeast
AAEL006056,AAEL009042,0.937,yeast/worm/fly
AAEL006066,AAEL014583,0.936,fly
AAEL005066,AAEL004873,0.936,fly
AAEL005825,AAEL010251,0.936,yeast
AAEL005825,AAEL014262,0.936,yeast
AAEL000832,AAEL000118,0.935,yeast
AAEL010831,AAEL003109,0.934,fly
AAEL012675,AAEL008703,0.934,fly
AAEL006401,AAEL004464,0.934,fly
AAEL007387,AAEL012636,0.934,fly
AAEL009302,AAEL011663,0.934,yeast
AAEL003370,AAEL011196,0.934,yeast
AAEL007022,AAEL002140,0.934,yeast/fly
AAEL011851,AAEL013739,0.933,fly
AAEL012514,AAEL014262,0.933,yeast
AAEL004237,AAEL001157,0.933,yeast
AAEL012514,AAEL010251,0.933,yeast
AAEL007271,AAEL011202,0.932,fly
AAEL009756,AAEL003845,0.932,fly
AAEL003941,AAEL006544,0.932,yeast
AAEL011057,AAEL003868,0.932,yeast
AAEL012675,AAEL012459,0.931,fly
AAEL004457,AAEL004763,0.931,fly
AAEL007089,AAEL003109,0.931,fly
AAEL005400,AAEL009376,0.931,fly
AAEL013863,AAEL013950,0.931,fly
AAEL013061,AAEL011233,0.931,fly
AAEL009089,AAEL009814,0.931,yeast
AAEL008462,AAEL009039,0.931,yeast
AAEL004427,AAEL001103,0.931,yeast
AAEL009905,AAEL014314,0.931,yeast
AAEL013189,AAEL012330,0.931,yeast
AAEL006788,AAEL007581,0.931,yeast/worm
AAEL012284,AAEL013108,0.93,fly
AAEL014869,AAEL013108,0.93,fly
AAEL012675,AAEL015120,0.93,fly
AAEL005137,AAEL012381,0.93,fly
AAEL012675,AAEL011667,0.93,fly
AAEL001857,AAEL002137,0.93,fly
AAEL012101,AAEL002851,0.93,yeast
AAEL009273,AAEL009273,0.93,yeast/fly
AAEL001922,AAEL009731,0.929,fly
AAEL001972,AAEL006462,0.928,yeast
AAEL001574,AAEL001139,0.928,yeast
AAEL007871,AAEL004607,0.927,fly
AAEL001363,AAEL003985,0.927,fly
AAEL005856,AAEL009829,0.927,yeast
AAEL007105,AAEL007105,0.926,fly
AAEL003587,AAEL007801,0.926,fly
AAEL008255,AAEL003912,0.926,yeast
AAEL000832,AAEL007904,0.926,yeast
AAEL004469,AAEL014375,0.926,yeast
AAEL000832,AAEL005356,0.926,yeast
AAEL007699,AAEL009614,0.925,fly
AAEL012476,AAEL013522,0.925,fly
AAEL013675,AAEL011527,0.925,yeast
AAEL006525,AAEL007291,0.924,fly
AAEL005513,AAEL009351,0.924,fly
AAEL006492,AAEL005655,0.924,fly
AAEL012366,AAEL003834,0.924,fly
AAEL004422,AAEL008755,0.924,fly
AAEL013369,AAEL008255,0.924,yeast
AAEL005636,AAEL013675,0.924,yeast
AAEL006697,AAEL005851,0.923,fly
AAEL001374,AAEL013845,0.923,fly
AAEL010958,AAEL007865,0.923,yeast
AAEL011429,AAEL009658,0.922,fly
AAEL013539,AAEL008329,0.922,fly
AAEL005400,AAEL003277,0.922,fly
AAEL000999,AAEL011811,0.922,yeast
AAEL006725,AAEL015244,0.922,yeast
AAEL013248,AAEL001038,0.922,yeast
AAEL008500,AAEL001363,0.922,yeast
AAEL006725,AAEL012348,0.922,yeast
AAEL008755,AAEL001831,0.922,yeast
AAEL011227,AAEL011227,0.921,fly
AAEL013357,AAEL003036,0.921,fly
AAEL009509,AAEL000179,0.921,fly
AAEL005793,AAEL013942,0.921,yeast
AAEL001334,AAEL000605,0.921,yeast/fly
AAEL010885,AAEL010388,0.92,fly
AAEL004185,AAEL003416,0.92,fly
AAEL005263,AAEL001506,0.92,yeast/fly
AAEL004686,AAEL010341,0.92,yeast/worm/fly
AAEL004291,AAEL006492,0.919,fly
AAEL005273,AAEL008170,0.919,fly
AAEL008508,AAEL006492,0.919,fly
AAEL006721,AAEL002764,0.919,yeast
AAEL002810,AAEL012546,0.919,yeast
AAEL004417,AAEL010368,0.919,yeast
AAEL009220,AAEL007219,0.918,fly
AAEL001439,AAEL007760,0.918,fly
AAEL009170,AAEL013010,0.918,worm/fly
AAEL002464,AAEL009808,0.918,yeast
AAEL005636,AAEL010251,0.918,yeast
AAEL005636,AAEL014262,0.918,yeast
AAEL009275,AAEL001166,0.918,yeast
AAEL007568,AAEL011692,0.918,yeast
AAEL000659,AAEL006819,0.918,yeast
AAEL007326,AAEL012930,0.918,yeast
AAEL003112,AAEL005173,0.917,fly
AAEL009145,AAEL001131,0.917,yeast
AAEL007568,AAEL010617,0.917,yeast
AAEL011905,AAEL011905,0.917,yeast
AAEL013230,AAEL004546,0.917,yeast
AAEL010388,AAEL014635,0.916,fly
AAEL014333,AAEL007149,0.916,fly
AAEL014528,AAEL010588,0.916,yeast
AAEL001698,AAEL002938,0.916,yeast
AAEL007228,AAEL007162,0.916,yeast
AAEL009302,AAEL013869,0.916,yeast
AAEL007153,AAEL008661,0.916,yeast
AAEL011650,AAEL000983,0.916,yeast
AAEL012039,AAEL003374,0.915,fly
AAEL011992,AAEL012250,0.915,fly
AAEL014042,AAEL006977,0.915,yeast
AAEL007546,AAEL011750,0.915,yeast
AAEL012303,AAEL007149,0.914,fly
AAEL007686,AAEL007450,0.914,fly
AAEL011172,AAEL003416,0.914,fly
AAEL010610,AAEL000706,0.914,yeast
AAEL014668,AAEL007297,0.914,yeast
AAEL005069,AAEL006091,0.914,yeast
AAEL007484,AAEL001273,0.914,yeast
AAEL014636,AAEL007801,0.913,fly
AAEL007939,AAEL000999,0.913,yeast
AAEL012925,AAEL007326,0.913,yeast
